Experiment name: example_CNN_1

DSE of CIFAR-10 dataset:

	conv_depth:	[1 2 3]
	fc_depth:	[0 1]
	fc_layers:	[ 32  64 128 256]
	fc_layers_local:	['fc_depth']
	conv_filters:	[16 32 64]
	conv_filters_local:	['conv_depth']
	conv_activation:	['ReLU']
	fc_activation:	['ReLU']
	out_activation:	['softmax']
	conv_pooltype:	['max2d']
	conv_pools:	[1, 2]
	conv_pools_local:	['conv_depth']
	conv_kernels:	[3, 5, 7]
	conv_kernels_local:	['conv_depth']
	conv_strides:	[1, 2, 3]
	conv_strides_local:	['conv_depth']
	learning_rate:	[ 0.001       0.00146002  0.00213166  0.00311227  0.00454399  0.00663432
  0.00968625  0.01414214  0.02064782  0.03014627  0.0440142   0.06426169
  0.09382346  0.13698427  0.2       ]
	epochs:	[100]
	batchsize:	[300]
	updates:	['ADAM']
	loss:	['categorical_crossentropy']

50: fc_layers: [], conv_filters: [64, 64, 16], conv_pools: [2, 2, 1], conv_kernels: [7, 3, 7], conv_strides: [2, 1, 2], learning_rate: 0.0014600215945392847, Error: 0.309803934658, Cost: 5130.3, Duration: 673s, Completed: Wed Dec  6 06:06:13 2017
51: fc_layers: [], conv_filters: [16, 16], conv_pools: [2, 2], conv_kernels: [3, 3], conv_strides: [3, 2], learning_rate: 0.01414213515818119, Error: 0.529411772595, Cost: 365.006, Duration: 411s, Completed: Wed Dec  6 06:13:23 2017
52: fc_layers: [], conv_filters: [32, 32, 16], conv_pools: [1, 1, 2], conv_kernels: [3, 3, 3], conv_strides: [3, 2, 2], learning_rate: 0.01414213515818119, Error: 0.428137274349, Cost: 880.986, Duration: 482s, Completed: Wed Dec  6 06:21:40 2017
53: fc_layers: [], conv_filters: [32, 16, 32], conv_pools: [2, 2, 1], conv_kernels: [5, 3, 3], conv_strides: [3, 1, 2], learning_rate: 0.003112274222075939, Error: 0.425686294542, Cost: 947.521, Duration: 475s, Completed: Wed Dec  6 06:29:52 2017
54: fc_layers: [], conv_filters: [16, 16, 16], conv_pools: [2, 2, 1], conv_kernels: [5, 3, 5], conv_strides: [2, 2, 2], learning_rate: 0.01414213515818119, Error: 0.394019628272, Cost: 937.861, Duration: 488s, Completed: Wed Dec  6 06:38:19 2017
55: fc_layers: [], conv_filters: [32, 32, 16], conv_pools: [2, 1, 2], conv_kernels: [3, 3, 3], conv_strides: [2, 2, 2], learning_rate: 0.0014600215945392847, Error: 0.377647082595, Cost: 855.39, Duration: 498s, Completed: Wed Dec  6 06:46:57 2017
56: fc_layers: [], conv_filters: [16, 16, 32], conv_pools: [2, 2, 1], conv_kernels: [7, 3, 3], conv_strides: [2, 2, 2], learning_rate: 0.13698427379131317, Error: 0.398725499125, Cost: 1045.88, Duration: 492s, Completed: Wed Dec  6 06:55:28 2017
57: fc_layers: [], conv_filters: [64, 16], conv_pools: [2, 2], conv_kernels: [3, 3], conv_strides: [3, 2], learning_rate: 0.020647823810577393, Error: 0.492647069342, Cost: 824.999, Duration: 431s, Completed: Wed Dec  6 07:02:59 2017
58: fc_layers: [], conv_filters: [32, 16, 16], conv_pools: [1, 2, 2], conv_kernels: [5, 3, 3], conv_strides: [3, 2, 1], learning_rate: 0.0010000000474974513, Error: 0.392156881445, Cost: 817.473, Duration: 479s, Completed: Wed Dec  6 07:11:14 2017
59: fc_layers: [], conv_filters: [16, 16, 16], conv_pools: [2, 1, 2], conv_kernels: [5, 3, 3], conv_strides: [2, 2, 3], learning_rate: 0.20000000298023224, Error: 0.406176475918, Cost: 683.128, Duration: 488s, Completed: Wed Dec  6 07:19:39 2017
60: fc_layers: [], conv_filters: [64, 64, 64], conv_pools: [2, 2, 2], conv_kernels: [5, 3, 5], conv_strides: [1, 2, 2], learning_rate: 0.06426168978214264, Error: 0.365490210407, Cost: 3760.07, Duration: 1128s, Completed: Wed Dec  6 07:38:44 2017
61: fc_layers: [], conv_filters: [64, 64, 32], conv_pools: [1, 2, 1], conv_kernels: [5, 3, 5], conv_strides: [2, 2, 3], learning_rate: 0.01414213515818119, Error: 0.364117666202, Cost: 3989.96, Duration: 707s, Completed: Wed Dec  6 07:50:48 2017
62: fc_layers: [], conv_filters: [16, 16], conv_pools: [2, 2], conv_kernels: [3, 3], conv_strides: [3, 3], learning_rate: 0.030146269127726555, Error: 0.452156863668, Cost: 359.822, Duration: 409s, Completed: Wed Dec  6 07:57:52 2017
63: fc_layers: [], conv_filters: [16, 16], conv_pools: [2, 2], conv_kernels: [3, 3], conv_strides: [3, 3], learning_rate: 0.009686251170933247, Error: 0.448333335273, Cost: 359.822, Duration: 409s, Completed: Wed Dec  6 08:04:57 2017
